"pclass","name","sex","age","sibsp","parch","ticket","fare","cabin","embarked","boat","body","home.dest","target"
1,"Warren, Mr. Frank Manley","male",64.0,1,0,"110813",75.25,"D37","C","","","Portland, OR","0"
3,"Assaf, Mr. Gerios","male",21.0,0,0,"2692",7.225,"","C","","","Ottawa, ON","0"
1,"Robbins, Mr. Victor","male","",0,0,"PC 17757",227.525,"","C","","","","0"
2,"Mallet, Mrs. Albert (Antoinette Magnin)","female",24.0,1,1,"S.C./PARIS 2079",37.0042,"","C","10","","Paris / Montreal, PQ","1"
3,"Johnson, Mr. Alfred","male",49.0,0,0,"LINE",0.0,"","S","","","","0"
3,"Wenzel, Mr. Linhart","male",32.5,0,0,"345775",9.5,"","S","",298.0,"","0"
1,"Kreuchen, Miss. Emilie","female",39.0,0,0,"24160",211.3375,"","S","2","","","1"
3,"Sivic, Mr. Husein","male",40.0,0,0,"349251",7.8958,"","S","","","","0"
3,"Yasbeck, Mr. Antoni","male",27.0,1,0,"2659",14.4542,"","C","C","","","0"
3,"Lundstrom, Mr. Thure Edvin","male",32.0,0,0,"350403",7.5792,"","S","15","","","1"
2,"Mangiavacchi, Mr. Serafino Emilio","male","",0,0,"SC/A.3 2861",15.5792,"","C","","","New York, NY","0"
2,"Weisz, Mr. Leopold","male",27.0,1,0,"228414",26.0,"","S","",293.0,"Bromsgrove, England / Montreal, PQ","0"
1,"Straus, Mr. Isidor","male",67.0,1,0,"PC 17483",221.7792,"C55 C57","S","",96.0,"New York, NY","0"
3,"Panula, Mrs. Juha (Maria Emilia Ojala)","female",41.0,0,5,"3101295",39.6875,"","S","","","","0"
3,"Thorneycroft, Mrs. Percival (Florence Kate White)","female","",1,0,"376564",16.1,"","S","10","","","1"
3,"Asplund, Master. Edvin Rojj Felix","male",3.0,4,2,"347077",31.3875,"","S","15","","Sweden Worcester, MA","1"
1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)","female",35.0,1,0,"36973",83.475,"C83","S","D","","New York, NY","1"
2,"Bailey, Mr. Percy Andrew","male",18.0,0,0,"29108",11.5,"","S","","","Penzance, Cornwall / Akron, OH","0"
1,"Serepeca, Miss. Augusta","female",30.0,0,0,"113798",31.0,"","C","4","","","1"
1,"Graham, Miss. Margaret Edith","female",19.0,0,0,"112053",30.0,"B42","S","3","","Greenwich, CT","1"
3,"O'Sullivan, Miss. Bridget Mary","female","",0,0,"330909",7.6292,"","Q","","","","0"
3,"Widegren, Mr. Carl/Charles Peter","male",51.0,0,0,"347064",7.75,"","S","","","","0"
3,"Dahlberg, Miss. Gerda Ulrika","female",22.0,0,0,"7552",10.5167,"","S","","","Norrlot, Sweden Chicago, IL","0"
3,"Nysveen, Mr. Johan Hansen","male",61.0,0,0,"345364",6.2375,"","S","","","","0"
1,"Snyder, Mr. John Pillsbury","male",24.0,1,0,"21228",82.2667,"B45","S","7","","Minneapolis, MN","1"
3,"Bradley, Miss. Bridget Delia","female",22.0,0,0,"334914",7.725,"","Q","13","","Kingwilliamstown, Co Cork, Ireland Glens Falls, NY","1"
3,"Smyth, Miss. Julia","female","",0,0,"335432",7.7333,"","Q","13","","","1"
1,"Romaine, Mr. Charles Hallace ('Mr C Rolmane')","male",45.0,0,0,"111428",26.55,"","S","9","","New York, NY","1"
1,"Carter, Miss. Lucile Polk","female",14.0,1,2,"113760",120.0,"B96 B98","S","4","","Bryn Mawr, PA","1"
1,"Hoyt, Mr. Frederick Maxfield","male",38.0,1,0,"19943",90.0,"C93","S","D","","New York, NY /  Stamford CT","1"
3,"Abbott, Master. Eugene Joseph","male",13.0,0,2,"C.A. 2673",20.25,"","S","","","East Providence, RI","0"
3,"Sawyer, Mr. Frederick Charles","male",24.5,0,0,"342826",8.05,"","S","",284.0,"","0"
3,"Asplund, Miss. Lillian Gertrud","female",5.0,4,2,"347077",31.3875,"","S","15","","Sweden Worcester, MA","1"
1,"Cherry, Miss. Gladys","female",30.0,0,0,"110152",86.5,"B77","S","8","","London, England","1"
3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)","female",45.0,1,4,"347088",27.9,"","S","","","","0"
3,"Coutts, Mrs. William (Winnie 'Minnie' Treanor)","female",36.0,0,2,"C.A. 37671",15.9,"","S","2","","England Brooklyn, NY","1"
2,"Nicholls, Mr. Joseph Charles","male",19.0,1,1,"C.A. 33112",36.75,"","S","",101.0,"Cornwall / Hancock, MI","0"
3,"Hampe, Mr. Leon","male",20.0,0,0,"345769",9.5,"","S","","","","0"
3,"Waelens, Mr. Achille","male",22.0,0,0,"345767",9.0,"","S","","","Antwerp, Belgium / Stanton, OH","0"
3,"Torber, Mr. Ernst William","male",44.0,0,0,"364511",8.05,"","S","","","","0"
3,"Ali, Mr. Ahmed","male",24.0,0,0,"SOTON/O.Q. 3101311",7.05,"","S","","","","0"
3,"Salander, Mr. Karl Johan","male",24.0,0,0,"7266",9.325,"","S","","","","0"
3,"Bourke, Miss. Mary","female","",0,2,"364848",7.75,"","Q","","","Ireland Chicago, IL","0"
2,"Pain, Dr. Alfred","male",23.0,0,0,"244278",10.5,"","S","","","Hamilton, ON","0"
3,"Larsson, Mr. Bengt Edvin","male",29.0,0,0,"347067",7.775,"","S","","","","0"
3,"Rintamaki, Mr. Matti","male",35.0,0,0,"STON/O 2. 3101273",7.125,"","S","","","","0"
3,"McNamee, Mrs. Neal (Eileen O'Leary)","female",19.0,1,0,"376566",16.1,"","S","",53.0,"","0"
3,"Willer, Mr. Aaron ('Abi Weller')","male","",0,0,"3410",8.7125,"","S","","","","0"
2,"Wright, Miss. Marion","female",26.0,0,0,"220844",13.5,"","S","9","","Yoevil, England / Cottage Grove, OR","1"
3,"Andersson, Mr. August Edvard ('Wennerstrom')","male",27.0,0,0,"350043",7.7958,"","S","A","","","1"
1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)","female",23.0,1,0,"21228",82.2667,"B45","S","7","","Minneapolis, MN","1"
3,"Goodwin, Mr. Charles Frederick","male",40.0,1,6,"CA 2144",46.9,"","S","","","Wiltshire, England Niagara Falls, NY","0"
3,"Yousseff, Mr. Gerious","male","",0,0,"2627",14.4583,"","C","","","","0"
3,"Dennis, Mr. Samuel","male",22.0,0,0,"A/5 21172",7.25,"","S","","","","0"
3,"McGowan, Miss. Katherine","female",35.0,0,0,"9232",7.75,"","Q","","","","0"
1,"Maioni, Miss. Roberta","female",16.0,0,0,"110152",86.5,"B79","S","8","","","1"
2,"Mitchell, Mr. Henry Michael","male",70.0,0,0,"C.A. 24580",10.5,"","S","","","Guernsey / Montclair, NJ and/or Toledo, Ohio","0"
3,"Murphy, Miss. Katherine 'Kate'","female","",1,0,"367230",15.5,"","Q","16","","","1"
3,"Aronsson, Mr. Ernst Axel Algot","male",24.0,0,0,"349911",7.775,"","S","","","Sweden Joliet, IL","0"
3,"Thomas, Mr. Tannous","male","",0,0,"2684",7.225,"","C","","","","0"
3,"Jalsevac, Mr. Ivan","male",29.0,0,0,"349240",7.8958,"","C","15","","","1"
3,"Foo, Mr. Choong","male","",0,0,"1601",56.4958,"","S","13","","Hong Kong New York, NY","1"
1,"Birnbaum, Mr. Jakob","male",25.0,0,0,"13905",26.0,"","C","",148.0,"San Francisco, CA","0"
1,"Allison, Mr. Hudson Joshua Creighton","male",30.0,1,2,"113781",151.55,"C22 C26","S","",135.0,"Montreal, PQ / Chesterville, ON","0"
